Ckey,Call_Num,Barcode,Druid,Purl,Title
4540802,G7823 .F8 S50 .C51 8731-II,36105024048162,fx221hr2467,https://purl.stanford.edu/fx221hr2467,Fujian sheng
4540802,G7823 .F8 S50 .C51 8731-III,36105024048154,nx465sf6560,https://purl.stanford.edu/nx465sf6560,Fujian sheng
4540802,G7823 .F8 S50 .C51 8731-IV,36105024048147,vh848rk6527,https://purl.stanford.edu/vh848rk6527,Fujian sheng
4540802,G7823 .F8 S50 .C51 8732-II,36105024048071,nz085tm9376,https://purl.stanford.edu/nz085tm9376,Fujian sheng
4540802,G7823 .F8 S50 .C51 8732-III,36105024048063,ck868hx2451,https://purl.stanford.edu/ck868hx2451,Fujian sheng
4540802,G7823 .F8 S50 .C51 8732-IV,36105024048055,dz894cp7321,https://purl.stanford.edu/dz894cp7321,Fujian sheng
4540802,G7823 .F8 S50 .C51 8733-III,36105118392674,sv853gr8238,https://purl.stanford.edu/sv853gr8238,Fujian sheng
4540802,G7823 .F8 S50 .C51 8829-IV,36105024048139,mx299gg4847,https://purl.stanford.edu/mx299gg4847,Fujian sheng
4540802,G7823 .F8 S50 .C51 8830-I,36105024048204,tf050xn1261,https://purl.stanford.edu/tf050xn1261,Fujian sheng
4540802,G7823 .F8 S50 .C51 8830-III,36105024048196,vm986nk6693,https://purl.stanford.edu/vm986nk6693,Fujian sheng
4540802,G7823 .F8 S50 .C51 8830-IV,36105024048188,pv631vf4763,https://purl.stanford.edu/pv631vf4763,Fujian sheng
4540802,G7823 .F8 S50 .C51 8831-I,36105024048170,fw555gv0318,https://purl.stanford.edu/fw555gv0318,Fujian sheng
4540802,G7823 .F8 S50 .C51 8831-II,36105024048212,qf656zk9442,https://purl.stanford.edu/qf656zk9442,Fujian sheng
4540802,G7823 .F8 S50 .C51 8831-III,36105024048220,xz755xg5706,https://purl.stanford.edu/xz755xg5706,Fujian sheng
4540802,G7823 .F8 S50 .C51 8831-IV,36105024048246,tn164rt6983,https://purl.stanford.edu/tn164rt6983,Fujian sheng
4540802,G7823 .F8 S50 .C51 8832-II,36105024048238,fr264hw1027,https://purl.stanford.edu/fr264hw1027,Fujian sheng
4540802,G7823 .F8 S50 .C51 8832-III,36105024048816,ms376qd0245,https://purl.stanford.edu/ms376qd0245,Fujian sheng
4540802,G7823 .F8 S50 .C51 8833-I,36105024048824,tk263jw7475,https://purl.stanford.edu/tk263jw7475,Fujian sheng
4540802,G7823 .F8 S50 .C51 8833-II,36105024048832,fw814jg0159,https://purl.stanford.edu/fw814jg0159,Fujian sheng
4540802,G7823 .F8 S50 .C51 8834-II,36105024048840,nf889bp6429,https://purl.stanford.edu/nf889bp6429,Fujian sheng
