Call_Num,Druid,Purl,Title,Sym_Bar,Ckey
G7960 S50 .K61 NI-52-3-11,pw848gp7784,https://purl.stanford.edu/pw848gp7784,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-3-12,gc985qm5164,https://purl.stanford.edu/gc985qm5164,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-3-14,wb288mx8494,https://purl.stanford.edu/wb288mx8494,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-4-1,wh761pz0866,https://purl.stanford.edu/wh761pz0866,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-4-2,gn994sd6325,https://purl.stanford.edu/gn994sd6325,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-4-6,mb170qd9385,https://purl.stanford.edu/mb170qd9385,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-4-7,fc081pc2550,https://purl.stanford.edu/fc081pc2550,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-4-8,yk316wx6106,https://purl.stanford.edu/yk316wx6106,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-4-9,nk151st9760,https://purl.stanford.edu/nk151st9760,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-4-11,xf384qv4312,https://purl.stanford.edu/xf384qv4312,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-4-12,nf479nb1236,https://purl.stanford.edu/nf479nb1236,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-4-15,gn664hn9288,https://purl.stanford.edu/gn664hn9288,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-4-16,kx859pz0291,https://purl.stanford.edu/kx859pz0291,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NI-52-5-1,gd768hw1348,https://purl.stanford.edu/gd768hw1348,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
